month,maxpsi,airqualitydesc,airqualitylevel,yearmonthstr,ascott_month_open,ascott_month_close,ascott_month_trend,genting_month_open,genting_month_close,genting_month_trend,hotel_prop_month_open,hotel_prop_month_close,hotel_prop_month_trend,mandarin_month_open,mandarin_month_close,mandarin_month_trend,singair_month_open,singair_month_close,singair_month_trend,tourist_month,total_international,total_international_1,total_international_trend,southeast_asia,southeast_asia_1,southeast_asia_trend,greater_china,greater_china_1,greater_china_trend,north_asia,north_asia_1,north_asia_trend,south_asia,south_asia_1,south_asia_trend,west_asia,west_asia_1,west_asia_trend,americas,americas_1,americas_trend,oceania,oceania_1,oceania_trend,africa,africa_1,africa_trend,others,others_1,others_trend
201511,94,Elevated,2,201511,1.16498,1.13622,Downtrend,0.81,0.76,Downtrend,3.64,3.67,,1.54,1.5,Downtrend,10.64,10.16,Downtrend,201511,1203992,1246947,Downtrend,455128,465052,Downtrend,,,Downtrend,,,Downtrend,109202,110301,Downtrend,11096,10882,Uptrend,55156,52975,Uptrend,87044,109158,Downtrend,5429,5876,Downtrend,5,3,Uptrend
201404,74,Elevated,2,201404,1.14581,1.1506,Uptrend,1.34,1.325,Downtrend,2.96,3.72,,1.6317,1.72602,Uptrend,10.47,10.38,Downtrend,201404,1245307,1297551,Downtrend,511901,508913,Uptrend,,,Downtrend,,,Downtrend,103761,90346,Uptrend,12344,15614,Downtrend,48813,66876,Downtrend,110476,82576,Uptrend,6295,4969,Uptrend,6,14,Downtrend
201608,143,Elevated,2,201608,1.08828,1.08828,Downtrend,0.785,0.72,Downtrend,3.49,3.39,,1.355,1.35,Downtrend,11.06,10.5,Downtrend,201608,1481908,1622417,Downtrend,447760,607295,Downtrend,,,Downtrend,,,Downtrend,107284,115028,Downtrend,22598,24252,Downtrend,48662,59258,Downtrend,92289,119907,Downtrend,6491,6181,Uptrend,0,0,Downtrend
201509,322,Very High,4,201509,1.18416,1.17457,Downtrend,0.755,0.725,Downtrend,3.6,3.74,,1.5,1.525,Uptrend,9.85,10.7,Uptrend,201509,1131976,1445062,Downtrend,414155,444137,Downtrend,,,Downtrend,,,Downtrend,91560,101316,Downtrend,15313,22048,Downtrend,42354,49943,Downtrend,110596,96655,Uptrend,5219,6111,Downtrend,3,1,Uptrend
201505,73,Elevated,2,201505,1.22251,1.2321,Uptrend,1.015,0.92,Downtrend,4.23,4.13,,1.64,1.58,Downtrend,12.17,11.35,Downtrend,201505,1222836,1208624,Uptrend,512074,478213,Uptrend,,,Downtrend,,,Downtrend,151623,108179,Uptrend,10058,12262,Downtrend,48014,49145,Downtrend,85227,94027,Downtrend,4675,6424,Downtrend,3,1,Uptrend
201408,65,Elevated,2,201408,1.18416,1.18416,Downtrend,1.335,1.22,Downtrend,4.3,4.28,,1.70716,1.67886,Downtrend,10.03,10.1,Uptrend,201408,1362935,1408400,Downtrend,480265,568294,Downtrend,,,Downtrend,,,Downtrend,95406,91829,Uptrend,27567,16438,Uptrend,47979,54557,Downtrend,94516,121953,Downtrend,6486,5445,Uptrend,0,0,Downtrend
201011,53,Normal,1,201011,1.17713,1.11225,Downtrend,2.18,1.99,Downtrend,2.79,2.85,,1.78261,1.93352,Uptrend,15.84,15.42,Downtrend,201011,964170,978913,Downtrend,391582,410399,Downtrend,,,Downtrend,,,Downtrend,89484,92987,Downtrend,13507,9647,Uptrend,43978,45972,Downtrend,72468,87077,Downtrend,5847,6024,Downtrend,3,0,Uptrend
201007,54,Normal,1,201007,1.0293,1.08444,Uptrend,1.17,1.27,Uptrend,2.5,2.85,,1.32989,1.34875,Uptrend,14.42,15.62,Uptrend,201007,1095047,951032,Uptrend,456012,433880,Uptrend,,,Downtrend,,,Downtrend,86537,102568,Downtrend,20156,11631,Uptrend,50467,46349,Uptrend,99208,85528,Uptrend,6388,5103,Uptrend,5,4,Uptrend
201602,64,Elevated,2,201602,1.0739,1.08348,Uptrend,0.71,0.755,Uptrend,3.45,3.5,,1.36,1.29,Downtrend,10.99,11.63,Uptrend,201602,1335099,1412123,Downtrend,440597,473005,Downtrend,,,Downtrend,,,Downtrend,82979,103184,Downtrend,11159,14073,Downtrend,58800,66989,Downtrend,68362,129376,Downtrend,3598,6369,Downtrend,0,1,Downtrend
201902,68,Elevated,2,201902,1.19,1.14,Downtrend,1.1,1.02,Downtrend,3.75,3.73,,1.92,2.04,Uptrend,9.7,10.01,Uptrend,201902,1499046,1624533,Downtrend,455403,491800,Downtrend,423941,393850,Uptrend,132143,139082,Downtrend,108449,126665,Downtrend,9935,11527,Downtrend,77042,92387,Downtrend,74455,137664,Downtrend,4488,7086,Downtrend,0,0,Downtrend
201607,69,Elevated,2,201607,1.05472,1.08348,Uptrend,0.73,0.785,Uptrend,3.41,3.49,,1.36,1.355,Downtrend,10.64,10.98,Uptrend,201607,1622417,1270542,Uptrend,607295,493491,Uptrend,,,Downtrend,,,Downtrend,115028,130190,Downtrend,24252,8633,Uptrend,59258,56233,Uptrend,119907,90417,Uptrend,6181,3942,Uptrend,0,1,Downtrend
201306,246,High,3,201306,1.24201,1.19567,Downtrend,1.435,1.32,Downtrend,3.34,3.17,,1.61756,1.52324,Downtrend,10.65,10.14,Downtrend,201306,1288950,1288282,Uptrend,557007,534890,Uptrend,,,Downtrend,,,Downtrend,121033,141973,Downtrend,13492,8816,Uptrend,56120,47762,Uptrend,103350,95908,Uptrend,5309,4516,Uptrend,86,96,Downtrend
201202,41,Normal,1,201202,0.91761,0.98712,Uptrend,1.63,1.615,Downtrend,1.91,1.91,,1.49966,1.67415,Uptrend,10.98,11.02,Uptrend,201202,1134554,1198507,Downtrend,424993,432506,Downtrend,,,Downtrend,,,Downtrend,78699,73360,Uptrend,10478,10230,Uptrend,54048,51653,Uptrend,71466,107329,Downtrend,4526,6118,Downtrend,97,40,Uptrend
201212,41,Normal,1,201212,1.22347,1.26055,Uptrend,1.27,1.385,Uptrend,2.62,3.01,,1.30159,1.36761,Uptrend,10.72,10.75,Uptrend,201212,1360536,1212079,Uptrend,593887,484855,Uptrend,,,Downtrend,,,Downtrend,103142,93535,Uptrend,12180,9208,Uptrend,57297,52503,Uptrend,115229,93863,Uptrend,8901,5411,Uptrend,684,395,Uptrend
201001,50,Normal,1,201001,1.10282,1.06606,Downtrend,1.29,1.06,Downtrend,2.24,2.05,,1.39591,1.32989,Downtrend,14.82,13.82,Downtrend,201001,908495,972233,Downtrend,331917,434660,Downtrend,,,Downtrend,,,Downtrend,74021,91153,Downtrend,8796,9917,Downtrend,44900,42170,Uptrend,99207,92248,Uptrend,7373,10514,Downtrend,16,2,Uptrend
